original,translate
Reload a previous save or restart the game!,Reload a previous save or restart the game!
Game too difficult?,游戏难度过高吗？
You can set the Difficulty in Settings -> Difficulty,You can set the Difficulty in Settings -> Difficulty
Load Last Save,Load Last Save
Load Other Save,Load Other Save
Restart Game,Restart Game
Game Over!,Game Over!
{PLAYER} does not have Thieves Tools!,{PLAYER} 没有盗贼工具！
The adventure begins!,冒险开始！
You see,你看到
You must destribute all your attribute points before you can proceed!,你必须在继续之前分配完所有属性点！
Can't be far now,不远了
Name,名字
New Recipe,新配方
#Camping,#露营
Begin Rest,开始休息
Manage Party,管理队伍
Main Party,主队伍
is now leading the party,现在带领队伍
Tonight's Meal,今晚的餐食
Party's Food,队伍的食物
Camp Followers,队伍随从
Click a party member to move them between your camp and your active party,点击队伍成员在营地和活跃队伍之间移动他们
ACTIVITY,活动
Activities,活动
Entertain,娱乐
The character tries to lift their comrades' Spirits using their Diplomacy skill,角色尝试使用外交技能提升同伴的精神状态
Success adds the Motivated Condition to all party-members,成功会给所有队伍成员添加激励状态
Forage,采集
The character has a chance to find some extra food depending on their Survival skill,角色根据生存技能有一定几率找到额外的食物
The food found cannot be consumed until the next rest period,找到的食物需要等到下一次休息期才能食用
Train,训练
The character attempts to instruct the party using their Lore skill,角色尝试使用知识技能指导队伍
Success gives a small XP reward,成功给予少量经验奖励
Fletch,制作
The character has a chance to create a small number of Hunting Arrows depending on their Crafting skill,角色有一定几率根据其制作技能制作少量狩猎箭矢
Camp activities begin,集营活动开始
{PLAYER} is too heavily wounded to work,{PLACEHOLDER_0}伤势过重无法工作
Kat is too heavily wounded to work,凯特伤势过重无法工作
Roland is too heavily wounded to work,罗兰伤势过重无法工作
Driina is too heavily wounded to work,德里娜伤势过重无法工作
Iben is too heavily wounded to work,伊本伤势过重无法工作
Embla is too heavily wounded to work,艾姆拉伤势过重无法工作
{PLAYER} must roll,{PLACEHOLDER_0}必须掷骰
Kat must roll,凯特必须掷骰
Roland must roll,罗兰必须掷骰
Driina must roll,德里娜必须掷骰
Iben must roll,伊本必须掷骰
Iago must roll,伊阿哥必须掷骰
Embla must roll,艾姆拉必须掷骰
Kat successfully entertained their companions!,凯特成功娱乐了同伴！
Roland successfully entertained their companions!,罗兰成功地娱乐了同伴们！
Driina successfully entertained their companions!,德里娜成功地娱乐了同伴们！
Iben successfully entertained their companions!,伊本成功地娱乐了同伴们！
Embla successfully entertained their companions!,伊姆拉成功地娱乐了同伴们！
{PLAYER} found,__PLACEHOLDER_0__发现
Kat found,卡特发现
Roland found,罗兰发现
Driina found,德里娜发现
Iben found,伊本发现
Embla found,伊姆拉发现
ration!,食物！
Kat fletched,卡特制作箭矢
Roland fletched,罗兰制作箭矢
Driina fletched,德里娜制作箭矢
Iben fletched,伊本制作箭矢
Embla fletched,伊姆拉制作箭矢
arrow!,箭矢！
arrows!,箭矢！
Z,Z
Z z,Z Z
Z z Z,Z z Z
"The party was well-fed and rested 8 hours, recovering fully",队伍充分休息了8小时，恢复了全部体力
The party rested 8 hours and recovered partially,队伍休息了8小时，恢复了一部分体力
You rest for 8 hours,你休息了8小时
"Taking a running start, you leap",你助跑后纵身一跃
You make it and fall heavily into a roll as you land,你成功了，落地时重重地翻滚了一番
Fix Rope,固定绳索
You are swept off by the waterfall!,你被瀑布卷走了！
You use the shovel to dig in the ground a bit but you don't find anything!,你用铲子在地上挖了一小会儿，但什么也没发现！
You use the shovel to dig in the ground a bit and you find somehing!,你用铲子在地上挖了一小会儿，发现了一些东西！
Hire,雇佣
A mercenary is a blank character that you get to create from scratch and add to your party,武士是一个你可以从零开始创建的角色，并加入到你的队伍中
This portcullis is closed,这个吊桥是关闭的
"Perhaps there is an opening mechanism nearby, inside the city",或许附近有开启机制，就在城市内部
This is one of the entrances to the inn,这是酒馆的一个入口
"The door, however, is barricaded from the inside and there is no way of opening it from where you’re currently standing",然而，门从里面被堵住了，你现在所在的位置无法打开
Perhaps there is another way in,或许有其他进入方式
Perhaps there is an opening mechanism nearby,或许附近有开启机制
The main portcullis gate has been opened,主要吊桥已经被打开
Using the stack of boxes you can reach the rope and try to climb the wall,利用那堆箱子，你可以够到绳索并尝试攀爬城墙
You scale the wall,你攀爬墙面
"Using the rope, you can descend the wall",使用绳索，你可以下降墙面
You manage to descend the wall,你设法下降了墙面
The portcullis gate to the harbor has been opened,港口的吊门已经被打开
You're Encumbered and cannot move!,你负重过多，无法移动！
A sudden draft catches your attention,突然的气流吸引了你的注意
It cuts across your path in a way that seems unnatural considering the architecture of the area,它横跨你的路径，这种方式在该地区的建筑风格中显得不自然
This gate must be the main exit from the keep,这扇门一定是堡垒的主要出口
It’s currently locked with a key nowhere in sight,目前它被锁住了，周围也找不到钥匙
This means you're carrying more weight than your current Strength score allows,这意味着你携带的重量超过了你当前力量属性允许的限度
You need to drop some items or find a way to raise your Strength,你需要丢弃一些物品，或者找到提高力量的方法
The party is encumbered and cannot move!,队伍负重过多，无法移动！
Do you wish to hire this mercenary for 300 gold,你愿意用300金币雇佣这位佣兵吗
Do you wish to hire this mercenary for 400 gold,你愿意用400金币雇佣这位佣兵吗
Do you wish to hire this mercenary for 500 gold,你愿意用500金币雇佣这位佣兵吗
Do you wish to hire this mercenary for 1000 gold,你愿意用1000金币雇佣这位佣兵吗
Do you wish to hire this mercenary for 1500 gold,你愿意用1500金币雇佣这位佣兵吗
A mercenary is a blank character that you get to create from scratch and add to your party,佣兵是一个空白角色，你可以从头开始创建并加入你的队伍
Items Worn,身上装备的物品
Party Inventory,队伍库存
To Hit,命中
Damage,伤害
Encumb,负担
Equip,装备
#Feat Learning,#可学习专长数量
{PLAYER} reaches Level,__PLACEHOLDER_0__ 达到等级
You cannot Exit this screen while you have unsaved Development Points placed in Feats,在您有未保存的专长点数时，无法退出此界面
Click,点击
SAVE AND EXIT,保存并退出
or,或
"To gain spellcasting abilities, you must purchase ranks in the relevant (violet",要获得施法能力，您必须购买与相关（紫罗兰色
Feat-tree,专长树
More spells can be learned by studying spell-tomes that you acquire as you adventure,通过研究您在冒险中获得的法术卷轴，可以学习更多的法术
You must select 2 spells before proceeding!,在继续之前，您必须选择2个法术！
Learn 2 new spells from the Bardic Magic School,从吟游法术学派学习2个新法术
Learn 2 new spells from the Body Magic School,从身体法术学派学习2个新法术
Learn 2 new spells from the Mind Magic School,从心灵法术学派学习2个新法术
Learn 2 new spells from the Nature Magic School,从自然法术学派学习2个新法术
Learn 2 new spells from the Spirit Magic School,从灵性法术学派学习2个新法术
Learn 2 new spells from the Air Magic School,从空气法术学派学习2个新法术
Learn 2 new spells from the Earth Magic School,学习2个土系法术
Learn 2 new spells from the Fire Magic School,学习2个火系法术
Left-click to select spells Right-click to examine them,左键点击选择法术，右键点击查看
You have selected the required spells and can proceed!,你已选择所需的法术，可以继续了！
Pick 1 new Bardic Magic School 1 spell to learn,选择1个吟游诗人法术系1的新法术来学习
Pick 2 new Bardic Magic School 1 spells to learn,选择2个吟游诗人法术系1的新法术来学习
Pick 1 new Bardic Magic School 2 spell to learn,选择1个吟游诗人法术系2的新法术来学习
Pick 2 new Bardic Magic School 2 spells to learn,选择2个吟游诗人法术系2的新法术来学习
Pick 1 new Bardic Magic School 3 spell to learn,选择1个吟游诗人法术系3的新法术来学习
Pick 2 new Bardic Magic School 3 spells to learn,选择2个吟游诗人法术系3的新法术来学习
Pick 1 new Body Magic School 1 spell to learn,选择1个身法术系1的新法术来学习
Pick 2 new Body Magic School 1 spells to learn,选择2个身法术系1的新法术来学习
Pick 1 new Body Magic School 2 spell to learn,选择1个身法术系2的新法术来学习
Pick 2 new Body Magic School 2 spells to learn,选择2个身法术系2的新法术来学习
Pick 1 new Body Magic School 3 spell to learn,选择1个身法术系3的新法术来学习
Pick 2 new Body Magic School 3 spells to learn,选择2个身法术系3的新法术来学习
Pick 1 new Body Magic School 4 spell to learn,选择1个身法术系4的新法术来学习
Pick 2 new Body Magic School 4 spells to learn,选择2个身法术系4的新法术来学习
Pick 1 new Mind Magic School 1 spell to learn,选择1个心法术系1的新法术来学习
Pick 2 new Mind Magic School 1 spells to learn,选择2个心法术系1的新法术来学习
Pick 1 new Mind Magic School 2 spell to learn,选择1个新的心灵魔法学派2级法术学习
Pick 2 new Mind Magic School 2 spells to learn,选择2个新的心灵魔法学派2级法术学习
Pick 1 new Mind Magic School 3 spell to learn,选择1个新的心灵魔法学派3级法术学习
Pick 2 new Mind Magic School 3 spells to learn,选择2个新的心灵魔法学派3级法术学习
Pick 1 new Mind Magic School 4 spell to learn,选择1个新的心灵魔法学派4级法术学习
Pick 2 new Mind Magic School 4 spells to learn,选择2个新的心灵魔法学派4级法术学习
Pick 1 new Nature Magic School 1 spell to learn,选择1个新的自然魔法学派1级法术学习
Pick 2 new Nature Magic School 1 spells to learn,选择2个新的自然魔法学派1级法术学习
Pick 1 new Nature Magic School 2 spell to learn,选择1个新的自然魔法学派2级法术学习
Pick 2 new Nature Magic School 2 spells to learn,选择2个新的自然魔法学派2级法术学习
Pick 1 new Nature Magic School 3 spell to learn,选择1个新的自然魔法学派3级法术学习
Pick 2 new Nature Magic School 3 spells to learn,选择2个新的自然魔法学派3级法术学习
Pick 1 new Nature Magic School 4 spell to learn,选择1个新的自然魔法学派4级法术学习
Pick 2 new Nature Magic School 4 spells to learn,选择2个新的自然魔法学派4级法术学习
Pick 1 new Spirit Magic School 1 spell to learn,选择1个新的灵魂魔法学派1级法术学习
Pick 2 new Spirit Magic School 1 spells to learn,选择2个新的灵魂魔法学派1级法术学习
Pick 1 new Spirit Magic School 2 spell to learn,选择1个新的灵魂魔法学派2级法术学习
Pick 2 new Spirit Magic School 2 spells to learn,选择2个新的灵魂魔法学派2级法术学习
Pick 1 new Spirit Magic School 3 spell to learn,选择1个新的灵魂魔法学派3级法术学习
Pick 2 new Spirit Magic School 3 spells to learn,选择2个新的灵魂魔法学派3级法术学习
Pick 1 new Spirit Magic School 4 spell to learn,选择1个新的灵性魔法学派4级法术学习
Pick 2 new Spirit Magic School 4 spells to learn,选择2个新的灵性魔法学派4级法术学习
Pick 1 new Air Magic School 1 spell to learn,选择1个新的风元素魔法学派1级法术学习
Pick 2 new Air Magic School 1 spells to learn,选择2个新的风元素魔法学派1级法术学习
Pick 1 new Air Magic School 2 spell to learn,选择1个新的风元素魔法学派2级法术学习
Pick 2 new Air Magic School 2 spells to learn,选择2个新的风元素魔法学派2级法术学习
Pick 1 new Air Magic School 3 spell to learn,选择1个新的风元素魔法学派3级法术学习
Pick 2 new Air Magic School 3 spells to learn,选择2个新的风元素魔法学派3级法术学习
Pick 1 new Air Magic School 4 spell to learn,选择1个新的风元素魔法学派4级法术学习
Pick 2 new Air Magic School 4 spells to learn,选择2个新的风元素魔法学派4级法术学习
Pick 1 new Earth Magic School 1 spell to learn,选择1个新的土元素魔法学派1级法术学习
Pick 2 new Earth Magic School 1 spells to learn,选择2个新的土元素魔法学派1级法术学习
Pick 1 new Earth Magic School 2 spell to learn,选择1个新的土元素魔法学派2级法术学习
Pick 2 new Earth Magic School 2 spells to learn,选择2个新的土元素魔法学派2级法术学习
Pick 1 new Earth Magic School 3 spell to learn,选择1个新的土元素魔法学派3级法术学习
Pick 2 new Earth Magic School 3 spells to learn,选择2个新的土元素魔法学派3级法术学习
Pick 1 new Earth Magic School 4 spell to learn,选择1个新的土元素魔法学派4级法术学习
Pick 2 new Earth Magic School 4 spells to learn,选择2个新的土元素魔法学派4级法术学习
Pick 1 new Fire Magic School 1 spell to learn,选择1个新的火元素魔法学派1级法术学习
Pick 2 new Fire Magic School 1 spells to learn,选择2个新的火元素魔法学派1级法术学习
Pick 1 new Fire Magic School 2 spell to learn,选择1个新的火系法术2级来学习
Pick 2 new Fire Magic School 2 spells to learn,选择2个新的火系法术2级来学习
Pick 1 new Fire Magic School 3 spell to learn,选择1个新的火系法术3级来学习
Pick 2 new Fire Magic School 3 spells to learn,选择2个新的火系法术3级来学习
Pick 1 new Fire Magic School 4 spell to learn,选择1个新的火系法术4级来学习
Pick 2 new Fire Magic School 4 spells to learn,选择2个新的火系法术4级来学习
#Console,#控制台
Press TAB to exit or ESC to clear console,按TAB键退出或按ESC键清除控制台
Some helpful commands,一些有用的命令
heals the party fully - adds 1000 gold. - Wins any combat,治愈整个队伍 - 增加1000金币 - 任何战斗胜利
#Vendor UI,#商贩界面
Buy,购买
Steal,偷窃
Vendor wants,商贩想要
Sell mult,批量出售
Buy mult,批量购买
Suspicion,疑惑度
Restocks in 5 days,5天后补货
Restocks in 4 days,4天后补货
Restocks in 3 days,3天后补货
Restocks in 2 days,2天后补货
Restocks in 1 days,1天后补货
Sell,出售
Sell Stack,出售一组
Vendor will pay you,商人将支付你
for this,这些
Sold for,出售获得
Sold {ITEM},出售 {VALUE}
This item cannot be used like this,不能这样使用此物品
This item can't be traded,不能交易此物品
This item cannot be sold,不能出售此物品
This merchant will not buy stolen goods,该商人不收购赃物
This item is not for sale,该物品不能出售
"Gold, equipped items and quest items cannot be traded",金币、装备物品和任务物品不能交易
Purchased {ITEM},购买 {VALUE}
You cannot afford this item,你买不起这件物品
Trying to steal {ITEM} from merchant,尝试从商人那里偷取 {ITEM}
{PLAYER} stole {ITEM},{PLAYER} 偷取了 {PLAYER}
Vendor's Suspicion increased by,商人的怀疑增加 {VALUE}
Failed to steal item!,偷取物品失败！
This merchant no longer trusts you and refuses to trade,这位商人不再信任你，拒绝交易
Try again later,请稍后再试
Vendor cannot afford this item,商人负担不起这件物品
Gold remaining - Item is worth,剩余金币 - 物品价值
#Combat stuff,#战斗相关
Select a Spell to cast,选择一个法术施放
Select Ability!,选择能力！
Targets all allies,针对所有盟友
Click anywhere to use ability!,任意点击使用能力！
Select a target for your Ability!,选择你的能力目标！
Select a target to use ability!,选择使用能力的目标！
Select a target for your SPELL!,选择你的法术的目标！
Backstab!,背刺！
Critical Backstab!!!,背刺暴击！！！
Targets all enemies,针对所有敌人
Targets all allies,Targets all allies
Click anywhere to use ability!,Click anywhere to use ability!
Select a target for your Maneuver!,选择你的动作目标！
Characters cannot hold actions once they have begun acting,角色一旦开始行动便无法再持有动作
#Ending Cutscene,#结尾场景
was a year of little note for the Empire,对帝国来说，这一年没有什么值得一提的事情
Peace and stability reigned,和平与稳定盛行
With one exception,除了一个例外
The Outer Isles were lost,外岛失陷了
The event is extensively documented,该事件被广泛记录
The catastrophe was wholly natural albeit tragic,这场灾难虽然悲惨，但完全是自然原因
The volcano Kataban awoke after millennia of dormancy,千年沉睡的火山卡塔班苏醒了
It is written that the plume of smoke could be seen from the mainland,据记载，烟柱从大陆上也能看到
But there were other rumors as well,但也有一些其他的传言
Sailors claim they saw a new star in the sky the night of Karaban’s eruption,水手们声称在卡拉班爆发的夜晚看到了一颗新星
Such rumors are naught but lies,这些传言不过是谎言
#Ending Screen,#结束画面
"Let it be known that after much toil and hardship, {PLAYER} joins the illustrious ranks of the most holy order of the Persevering Blade",众所周知，在经历了无数辛劳和困苦后，{PLAYER}加入了坚忍之刃最神圣的行列
To be one of us is to have spat in the face of Death and Despair,成为我们中的一员，就是向死亡和绝望的挑战
It is to be one who forges ahead where lesser souls stand trembling,成为我们中的一员，就是向更弱小的灵魂所站立的颤抖之地迈进
"Now, onward to glory!",现在，向着荣耀前进吧！
You completed the game as a level {LEVEL?} {CLASS?} in {DAYS?} days,你以等级{VALUE}的{CLASS}完成了游戏，在{VALUE}天内
Report thine feat on Twitter to (a)SkaldRPG!,在推特上报告你的成就，@SkaldRPG！
AL,AL
